第一申请人,主体大类,第一申请人城市,专利数,活跃年份数,最早年份,最晚年份,高相关专利数,中相关专利数,严格核心专利数,PNT候选专利数,量子识别得分均值,主要技术方向,技术方向覆盖,产业链环节覆盖,被引字段覆盖率,被引次数合计
上海交通大学,高校,上海市,33,3,2021,2023,7,5,12,19,5.393939393939394,量子传感,量子通信与安全；量子计算；量子计算硬件；量子传感；量子基础概念,量子通信与安全；量子计算系统；量子计算硬件/量子芯片；量子计量/时间频率/PNT候选；其他量子相关/待复核；量子传感器/精密测量,0.09090909090909091,3.0
国科量子通信网络有限公司,企业,上海市,29,3,2021,2023,14,15,29,0,9.241379310344827,量子通信与安全,量子通信与安全,量子通信与安全,0.034482758620689655,1.0
国科量子通信网络有限公司,企业,上海,18,2,2024,2025,11,7,18,0,8.777777777777779,量子通信与安全,量子通信与安全,量子通信与安全,0.05555555555555555,1.0
复旦大学,高校,上海,12,2,2024,2025,3,9,12,0,7.333333333333333,量子传感,量子计算；量子传感；量子计算硬件；量子通信与安全,量子计算系统；上游材料与核心部件；量子计算硬件/量子芯片；量子通信与安全；量子传感器/精密测量,0.0,0.0
中国科学院上海微系统与信息技术研究所,科研院所,上海,10,2,2024,2025,4,6,10,0,8.3,量子计算,量子计算；量子计算硬件；量子通信与安全；量子传感,量子计算系统；量子计算硬件/量子芯片；量子通信与安全；量子传感器/精密测量,0.0,0.0
上海循态量子科技有限公司,企业,上海市,10,2,2021,2022,3,7,10,0,6.5,量子通信与安全,量子通信与安全,量子通信与安全,0.0,0.0
华东师范大学,高校,上海市,10,3,2021,2023,3,4,7,2,6.4,量子传感,量子基础概念；量子传感；量子计算硬件,其他量子相关/待复核；量子计量/时间频率/PNT候选；量子计算硬件/量子芯片；量子传感器/精密测量,0.0,0.0
上海交通大学,高校,上海,9,2,2024,2025,5,1,6,1,9.222222222222221,量子传感,量子传感；量子基础概念；量子计算；量子计算硬件；量子通信与安全,量子传感器/精密测量；其他量子相关/待复核；量子计算系统；量子软件/算法/模拟；量子计算硬件/量子芯片；量子通信与安全；量子计量/时间频率/PNT候选,0.0,0.0
中国科学院上海微系统与信息技术研究所,科研院所,上海市,9,2,2022,2023,1,7,8,0,6.777777777777778,量子计算,量子计算；量子传感；量子通信与安全,量子计算系统；上游材料与核心部件；量子传感器/精密测量；量子通信与安全,0.0,0.0
上海循态量子科技有限公司,企业,上海,9,2,2024,2025,0,8,8,0,5.0,量子通信与安全,量子通信与安全；量子基础概念,量子通信与安全；其他量子相关/待复核,0.0,0.0
上海循态信息科技有限公司,企业,上海市,8,1,2021,2021,5,3,8,0,9.25,量子通信与安全,量子通信与安全,量子通信与安全,0.25,7.0
上海国盾量子信息技术有限公司,企业,上海市,7,3,2021,2024,2,5,7,0,7.142857142857143,量子通信与安全,量子通信与安全,量子通信与安全,0.0,0.0
复旦大学,高校,上海市,7,3,2021,2023,2,3,5,2,6.0,量子传感,量子计算硬件；量子传感,量子计算硬件/量子芯片；量子传感器/精密测量；量子计量/时间频率/PNT候选；其他量子相关/待复核,0.14285714285714285,2.0
中国科学院微小卫星创新研究院,科研院所,上海市,7,3,2021,2023,0,1,1,6,3.2857142857142856,量子传感,量子通信与安全；量子传感,量子通信与安全；量子计量/时间频率/PNT候选,0.0,0.0
中国科学院上海光学精密机械研究所,科研院所,上海市,7,3,2021,2023,0,0,0,7,3.0,量子传感,量子传感,量子计量/时间频率/PNT候选,0.0,0.0
